trial,Model,h1,h3,h6,h12
55,GNAR,0.2,-0.957,-2.957,-0.171
55,GNARX_wb,8.314,2.6,1.4,1.943
56,GNAR,1.029,0.257,-1.657,0.871
56,GNARX_wb,8.486,2.671,1.514,2.143
57,GNAR,0.986,1.714,0.1,1.486
57,GNARX_wb,8.629,2.843,1.671,2.171
58,GNAR,1.414,0.714,-0.914,0.543
58,GNARX_wb,8.543,2.629,1.4,1.814
59,GNAR,1.543,1.514,0.257,1.329
59,GNARX_wb,9.057,2.786,1.543,1.929
60,GNAR,0.9,0.386,-1.114,0.857
60,GNARX_wb,8.8,2.757,1.486,2.057
61,GNAR,0.829,-0.071,-1.8,0.2
61,GNARX_wb,8.371,2.314,0.986,1.729
62,GNAR,1.371,0.457,-1.286,0.329
62,GNARX_wb,8.486,2.557,1.286,1.714
63,GNAR,0.971,-0.329,-2.171,0.429
63,GNARX_wb,7.914,2.057,0.914,1.757
64,GNAR,1.157,0.557,-1.1,0.986
64,GNARX_wb,8.3,2.457,1.257,1.929
65,GNAR,1.143,0.871,-0.8,0.843
65,GNARX_wb,8.529,2.614,1.243,1.929
66,GNAR,1.686,0.757,-0.971,0.657
66,GNARX_wb,8.571,2.657,1.271,1.786
67,GNAR,1.371,-0.043,-1.929,0.043
67,GNARX_wb,8.457,2.3,0.943,1.771
68,GNAR,0.857,0.986,-0.429,1.486
68,GNARX_wb,8.614,2.671,1.343,1.986
69,GNAR,1.157,1.171,-0.429,1.5
69,GNARX_wb,8.471,2.643,1.514,2.143
70,GNAR,1.714,0.886,-0.929,0.7
70,GNARX_wb,8.414,2.5,1.243,1.914
71,GNAR,1.114,0.343,-1.771,0.514
71,GNARX_wb,8.586,2.529,1.157,1.986
72,GNAR,1.243,0.6,-1.414,0.886
72,GNARX_wb,8.671,2.843,1.514,2.186
73,GNAR,0.871,-0.757,-2.671,-0.129
73,GNARX_wb,8.7,2.771,1.529,1.929
74,GNAR,1.586,1.414,-0.157,1.186
74,GNARX_wb,8.829,2.957,1.7,2.1
75,GNAR,0.7,0.586,-1.014,1.029
75,GNARX_wb,8.157,2.614,1.486,2.129
76,GNAR,0.929,0.471,-1.314,0.4
76,GNARX_wb,8.457,2.7,1.614,2.129
77,GNAR,1.286,0.414,-1.743,0.557
77,GNARX_wb,8.4,2.571,1.286,2.071
78,GNAR,1.114,0.286,-1.7,0.571
78,GNARX_wb,8.629,2.457,1.186,1.857
79,GNAR,0.914,0.829,-0.529,1.257
79,GNARX_wb,8.5,2.771,1.657,2.143
80,GNAR,1.414,0.2,-1.8,0.443
80,GNARX_wb,8.8,2.743,1.271,1.957
81,GNAR,0.914,-0.314,-2.171,0.186
81,GNARX_wb,8.514,2.843,1.629,2.014
82,GNAR,2.029,0.814,-1.043,0.757
82,GNARX_wb,8.614,2.614,1.357,1.986
83,GNAR,1.371,-0.371,-2.3,0.686
83,GNARX_wb,8.843,2.514,1.157,1.9
84,GNAR,0.957,0.871,-0.314,1.114
84,GNARX_wb,8.386,2.571,1.514,2.057
85,GNAR,1.529,0.986,-0.743,1.057
85,GNARX_wb,8.443,2.686,1.471,2.086
86,GNAR,1.329,0.486,-1.157,0.714
86,GNARX_wb,8.429,2.614,1.529,2.057
87,GNAR,1.043,0.343,-1.257,0.4
87,GNARX_wb,8.214,2.4,1.157,1.829
88,GNAR,1.286,-0.014,-1.914,0.257
88,GNARX_wb,8.443,2.343,1.029,1.814
89,GNAR,1.114,0.771,-0.957,0.871
89,GNARX_wb,8.514,2.771,1.571,2.029
90,GNAR,1.414,1.014,-0.686,0.643
90,GNARX_wb,8.457,2.471,1.257,1.829
91,GNAR,0.557,-0.514,-2.571,0.329
91,GNARX_wb,8.229,2.043,0.471,1.657
92,GNAR,0.686,-0.043,-1.871,0.257
92,GNARX_wb,8.571,2.514,1.071,1.771
93,GNAR,1.743,0.957,-1.086,0.7
93,GNARX_wb,8.629,2.957,1.643,2.071
94,GNAR,1.486,0.7,-0.7,0.471
94,GNARX_wb,8.529,2.571,1.443,1.886
95,GNAR,0.757,-0.343,-2.414,0.186
95,GNARX_wb,8.186,2.229,0.971,1.829
96,GNAR,1.171,1.286,-0.486,1.514
96,GNARX_wb,8.643,2.629,1.386,2.086
97,GNAR,1.329,2.014,0.9,2.114
97,GNARX_wb,8.414,2.714,1.514,2.043
98,GNAR,0.7,-0.4,-1.986,0.229
98,GNARX_wb,8.643,2.629,1.514,2.057
99,GNAR,0.771,0.814,-1.014,1.229
99,GNARX_wb,8.514,2.729,1.514,2.1
100,GNAR,1.957,0.6,-1.429,0.186
100,GNARX_wb,8.429,2.586,1.443,2.043
101,GNAR,1.357,1.286,-0.057,1.357
101,GNARX_wb,8.5,2.757,1.571,2.086
102,GNAR,0.714,0.4,-1.529,0.5
102,GNARX_wb,8.557,2.643,1.271,2.1
103,GNAR,0.257,-0.686,-2.4,0.086
103,GNARX_wb,8.014,1.9,0.514,1.471
104,GNAR,0.771,-0.286,-2.171,0.186
104,GNARX_wb,8.4,2.314,1.071,1.829
105,GNAR,1.6,1.086,-0.557,1.257
105,GNARX_wb,8.543,2.614,1.371,1.929
106,GNAR,1.629,2.1,1.071,1.914
106,GNARX_wb,8.5,2.857,1.686,2.043
107,GNAR,0.914,0.629,-0.743,0.686
107,GNARX_wb,8.3,2.529,1.429,1.9
108,GNAR,0.971,0.771,-0.829,1.271
108,GNARX_wb,8.6,2.529,1.043,1.886
109,GNAR,1.114,-0.1,-2.057,0.286
109,GNARX_wb,8.614,2.386,1.057,1.857
110,GNAR,1.214,0.5,-1.257,0.529
110,GNARX_wb,8.314,2.414,1.114,1.829
111,GNAR,1.9,0.971,-0.8,0.614
111,GNARX_wb,8.786,2.871,1.614,1.886
112,GNAR,0.671,1.0,-0.214,2.014
112,GNARX_wb,8.571,2.543,1.186,2.071
113,GNAR,0.329,0.214,-1.371,0.929
113,GNARX_wb,8.629,2.771,1.614,2.1
114,GNAR,1.629,0.886,-0.471,1.557
114,GNARX_wb,8.729,2.5,1.314,2.014
115,GNAR,0.686,0.257,-1.671,0.514
115,GNARX_wb,8.614,2.814,1.6,2.114
116,GNAR,1.443,0.357,-1.6,0.5
116,GNARX_wb,8.486,2.614,1.4,1.971
117,GNAR,1.057,0.686,-0.857,1.071
117,GNARX_wb,8.586,2.743,1.514,2.129
118,GNAR,1.557,0.471,-1.743,0.214
118,GNARX_wb,8.8,2.8,1.286,1.914
119,GNAR,1.286,0.3,-1.757,0.414
