Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%
Lake Kivu,GNARX_wb_dmi,12,0.3159,0.2487,49,-48.4
Lake Kivu,GNARX_wb_dmi_refit,1,0.0767,0.0594,60,7.7
Lake Kivu,GNARX_wb_dmi_refit,3,0.1372,0.1105,58,-10.9
Lake Kivu,GNARX_wb_dmi_refit,6,0.2011,0.1566,55,-18.0
Lake Kivu,GNARX_wb_dmi_refit,12,0.3195,0.2511,49,-50.1
Lake Malawi,RandomWalk,1,0.2235,0.185,60,-102.8
Lake Malawi,RandomWalk,3,0.5707,0.4954,58,-130.7
Lake Malawi,RandomWalk,6,0.7759,0.6755,55,-108.5
Lake Malawi,RandomWalk,12,0.547,0.5005,49,1.4
Lake Malawi,SARIMA,1,0.1102,0.0692,60,0.0
Lake Malawi,SARIMA,3,0.2474,0.1658,58,0.0
Lake Malawi,SARIMA,6,0.3721,0.2811,55,0.0
Lake Malawi,SARIMA,12,0.5549,0.4783,49,0.0
Lake Malawi,GNAR,1,0.1083,0.0654,60,1.7
Lake Malawi,GNAR,3,0.2359,0.1545,58,4.6
Lake Malawi,GNAR,6,0.3575,0.2638,55,3.9
Lake Malawi,GNAR,12,0.5544,0.4887,49,0.1
Lake Malawi,GNAR_refit,1,0.1081,0.0653,60,1.9
Lake Malawi,GNAR_refit,3,0.2368,0.1552,58,4.3
Lake Malawi,GNAR_refit,6,0.3601,0.2653,55,3.2
Lake Malawi,GNAR_refit,12,0.562,0.4868,49,-1.3
Lake Malawi,GNARX_wb,1,0.082,0.0526,60,25.6
Lake Malawi,GNARX_wb,3,0.2194,0.1403,58,11.3
Lake Malawi,GNARX_wb,6,0.3447,0.2469,55,7.4
Lake Malawi,GNARX_wb,12,0.5351,0.4766,49,3.6
Lake Malawi,GNARX_wb_refit,1,0.0825,0.0527,60,25.1
Lake Malawi,GNARX_wb_refit,3,0.2207,0.1408,58,10.8
Lake Malawi,GNARX_wb_refit,6,0.3473,0.2479,55,6.7
Lake Malawi,GNARX_wb_refit,12,0.5427,0.4749,49,2.2
Lake Malawi,GNARX_wb_dmi,1,0.0818,0.0524,60,25.8
Lake Malawi,GNARX_wb_dmi,3,0.2154,0.1474,58,12.9
Lake Malawi,GNARX_wb_dmi,6,0.3422,0.2426,55,8.0
Lake Malawi,GNARX_wb_dmi,12,0.5797,0.4757,49,-4.5
Lake Malawi,GNARX_wb_dmi_refit,1,0.0825,0.0526,60,25.1
Lake Malawi,GNARX_wb_dmi_refit,3,0.2175,0.1499,58,12.1
Lake Malawi,GNARX_wb_dmi_refit,6,0.3476,0.2458,55,6.6
Lake Malawi,GNARX_wb_dmi_refit,12,0.5938,0.4813,49,-7.0
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,60,-95.0
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,58,-111.5
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,55,-81.3
Lake Tanganyika,RandomWalk,12,0.4753,0.394,49,-4.5
Lake Tanganyika,SARIMA,1,0.0878,0.0624,60,0.0
Lake Tanganyika,SARIMA,3,0.2026,0.1551,58,0.0
Lake Tanganyika,SARIMA,6,0.3418,0.2706,55,0.0
Lake Tanganyika,SARIMA,12,0.4547,0.3789,49,0.0
Lake Tanganyika,GNAR,1,0.0758,0.0518,60,13.7
Lake Tanganyika,GNAR,3,0.1589,0.1202,58,21.6
Lake Tanganyika,GNAR,6,0.268,0.211,55,21.6
Lake Tanganyika,GNAR,12,0.4319,0.36,49,5.0
Lake Tanganyika,GNAR_refit,1,0.076,0.0522,60,13.4
Lake Tanganyika,GNAR_refit,3,0.1587,0.1209,58,21.7
Lake Tanganyika,GNAR_refit,6,0.2669,0.2118,55,21.9
Lake Tanganyika,GNAR_refit,12,0.4291,0.3561,49,5.6
Lake Tanganyika,GNARX_wb,1,0.0733,0.048,60,16.5
Lake Tanganyika,GNARX_wb,3,0.1559,0.1174,58,23.1
Lake Tanganyika,GNARX_wb,6,0.2644,0.2102,55,22.6
Lake Tanganyika,GNARX_wb,12,0.4326,0.3617,49,4.9
Lake Tanganyika,GNARX_wb_refit,1,0.0734,0.0484,60,16.4
Lake Tanganyika,GNARX_wb_refit,3,0.1559,0.1186,58,23.1
Lake Tanganyika,GNARX_wb_refit,6,0.2639,0.2121,55,22.8
Lake Tanganyika,GNARX_wb_refit,12,0.43,0.3582,49,5.4
Lake Tanganyika,GNARX_wb_dmi,1,0.0719,0.0471,60,18.1
Lake Tanganyika,GNARX_wb_dmi,3,0.1411,0.1095,58,30.4
Lake Tanganyika,GNARX_wb_dmi,6,0.2199,0.1838,55,35.7
Lake Tanganyika,GNARX_wb_dmi,12,0.3198,0.2871,49,29.7
Lake Tanganyika,GNARX_wb_dmi_refit,1,0.072,0.0475,60,18.0
Lake Tanganyika,GNARX_wb_dmi_refit,3,0.1416,0.1103,58,30.1
Lake Tanganyika,GNARX_wb_dmi_refit,6,0.2208,0.1851,55,35.4
Lake Tanganyika,GNARX_wb_dmi_refit,12,0.32,0.2851,49,29.6
Lake Turkana,RandomWalk,1,0.1204,0.086,60,-20.8
Lake Turkana,RandomWalk,3,0.2748,0.2148,58,-12.0
Lake Turkana,RandomWalk,6,0.449,0.3703,55,-8.6
Lake Turkana,RandomWalk,12,0.8021,0.6708,49,-18.0
Lake Turkana,SARIMA,1,0.0997,0.0722,60,0.0
Lake Turkana,SARIMA,3,0.2454,0.1988,58,0.0
Lake Turkana,SARIMA,6,0.4134,0.3584,55,0.0
Lake Turkana,SARIMA,12,0.68,0.615,49,0.0
Lake Turkana,GNAR,1,0.1137,0.0863,60,-14.0
Lake Turkana,GNAR,3,0.3104,0.2601,58,-26.5
Lake Turkana,GNAR,6,0.5324,0.442,55,-28.8
Lake Turkana,GNAR,12,0.6345,0.503,49,6.7
