Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Kivu,GNAR,6,0.1864,0.146,55,-9.4,57.1,0.499
Lake Kivu,GNAR,12,0.2239,0.1719,49,-5.2,68.6,0.588
Lake Kivu,GNAR_refit,1,0.079,0.0592,60,4.9,24.2,0.203
Lake Kivu,GNAR_refit,3,0.1297,0.0976,58,-4.9,39.7,0.334
Lake Kivu,GNAR_refit,6,0.1878,0.1466,55,-10.2,57.5,0.502
Lake Kivu,GNAR_refit,12,0.228,0.1738,49,-7.1,69.8,0.595
Lake Kivu,GNARX_wb,1,0.0734,0.0568,60,11.7,22.5,0.194
Lake Kivu,GNARX_wb,3,0.1265,0.1002,58,-2.3,38.7,0.343
Lake Kivu,GNARX_wb,6,0.1728,0.1397,55,-1.4,52.9,0.478
Lake Kivu,GNARX_wb,12,0.2131,0.1713,49,-0.1,65.2,0.586
Lake Kivu,GNARX_wb_refit,1,0.0735,0.0566,60,11.6,22.5,0.194
Lake Kivu,GNARX_wb_refit,3,0.1269,0.1003,58,-2.6,38.9,0.343
Lake Kivu,GNARX_wb_refit,6,0.1741,0.1404,55,-2.2,53.3,0.48
Lake Kivu,GNARX_wb_refit,12,0.2169,0.1733,49,-1.9,66.4,0.593
Lake Kivu,GNARX_wb_dmi,1,0.0764,0.0593,60,8.1,23.4,0.203
Lake Kivu,GNARX_wb_dmi,3,0.1364,0.11,58,-10.3,41.8,0.376
Lake Kivu,GNARX_wb_dmi,6,0.1987,0.1553,55,-16.6,60.8,0.531
Lake Kivu,GNARX_wb_dmi,12,0.3159,0.2487,49,-48.4,96.7,0.851
Lake Kivu,GNARX_wb_dmi_refit,1,0.0767,0.0594,60,7.7,23.5,0.203
Lake Kivu,GNARX_wb_dmi_refit,3,0.1372,0.1105,58,-10.9,42.0,0.378
Lake Kivu,GNARX_wb_dmi_refit,6,0.2011,0.1566,55,-18.0,61.6,0.536
Lake Kivu,GNARX_wb_dmi_refit,12,0.3195,0.2511,49,-50.1,97.8,0.859
