,Lake Albert,Lake Edward,Lake Kivu,Lake Malawi,Lake Tanganyika,Lake Turkana,Lake Victoria
Lake Albert,1.0,0.3135636425225066,0.2768480868426381,0.20528602557202888,0.43854232720313135,0.3934171788204486,0.5266152765650626
Lake Edward,0.3135636425225066,1.0,0.518322278848956,0.1178634157494281,0.3796918576799677,0.3491090453221548,0.46652823755238676
Lake Kivu,0.2768480868426381,0.518322278848956,1.0,0.24151393073617938,0.4204795069633426,0.3129953264110142,0.5638607567237856
Lake Malawi,0.20528602557202888,0.1178634157494281,0.24151393073617938,1.0,0.2862913077581547,0.13149032632448804,0.36076423514899875
Lake Tanganyika,0.43854232720313135,0.3796918576799677,0.4204795069633426,0.2862913077581547,1.0,0.26235606647929954,0.6522852014979719
Lake Turkana,0.3934171788204486,0.3491090453221548,0.3129953264110142,0.13149032632448804,0.26235606647929954,1.0,0.3809265702656541
Lake Victoria,0.5266152765650626,0.46652823755238676,0.5638607567237856,0.36076423514899875,0.6522852014979719,0.3809265702656541,1.0
