Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Turkana,RandomWalk,12,0.8021,0.6708,-18.0,71.1,1.005
Lake Turkana,SARIMA,1,0.0997,0.0722,0.0,8.8,0.108
Lake Turkana,SARIMA,3,0.2454,0.1988,0.0,21.8,0.298
Lake Turkana,SARIMA,6,0.4134,0.3584,0.0,36.6,0.537
Lake Turkana,SARIMA,12,0.68,0.615,0.0,60.3,0.922
Lake Turkana,VAR,1,0.1168,0.0893,-17.2,10.4,0.134
Lake Turkana,VAR,3,0.3179,0.2599,-29.5,28.2,0.389
Lake Turkana,VAR,6,0.5102,0.4214,-23.4,45.2,0.631
Lake Turkana,VAR,12,0.6046,0.4796,11.1,53.6,0.719
Lake Turkana,VARX,1,0.1141,0.0939,-14.4,10.1,0.141
Lake Turkana,VARX,3,0.3143,0.2581,-28.1,27.9,0.387
Lake Turkana,VARX,6,0.5239,0.4223,-26.7,46.4,0.633
Lake Turkana,VARX,12,0.6648,0.5209,2.2,58.9,0.781
Lake Victoria,RandomWalk,1,0.1099,0.0894,-75.6,19.9,0.282
Lake Victoria,RandomWalk,3,0.2405,0.1921,-72.4,43.6,0.607
Lake Victoria,RandomWalk,6,0.3206,0.2448,-41.5,58.2,0.773
Lake Victoria,RandomWalk,12,0.3363,0.29,1.3,61.0,0.916
Lake Victoria,SARIMA,1,0.0626,0.0503,0.0,11.4,0.159
Lake Victoria,SARIMA,3,0.1395,0.1096,0.0,25.3,0.346
Lake Victoria,SARIMA,6,0.2266,0.1745,0.0,41.1,0.551
Lake Victoria,SARIMA,12,0.3407,0.2929,0.0,61.8,0.925
Lake Victoria,VAR,1,0.0596,0.0485,4.8,10.8,0.153
Lake Victoria,VAR,3,0.1305,0.1,6.5,23.7,0.316
Lake Victoria,VAR,6,0.2096,0.1564,7.5,38.0,0.494
Lake Victoria,VAR,12,0.3343,0.2841,1.9,60.7,0.897
Lake Victoria,VARX,1,0.0497,0.0396,20.6,9.0,0.125
Lake Victoria,VARX,3,0.1181,0.0966,15.3,21.4,0.305
Lake Victoria,VARX,6,0.1963,0.1582,13.4,35.6,0.5
Lake Victoria,VARX,12,0.3142,0.2779,7.8,57.0,0.878
