response_(influenced),Lake Albert,Lake Edward,Lake Kivu,Lake Malawi,Lake Tanganyika,Lake Turkana,Lake Victoria
Lake Albert,0.0,0.0,0.0,0.0,0.5242,0.4715,0.6146
Lake Edward,0.5017,0.0,0.521,0.0,0.0,0.0,0.4382
Lake Kivu,0.5723,0.0,0.0,0.0,0.5423,0.0,0.5621
Lake Malawi,0.4747,0.0,0.0,0.0,0.5392,0.0,0.5174
Lake Tanganyika,0.6292,0.0,0.0,0.0,0.0,0.5846,0.6885
Lake Turkana,0.3984,0.0,0.3124,0.0,0.0,0.0,0.3699
Lake Victoria,0.553,0.5179,0.0,0.0,0.6099,0.0,0.0
