preproc,window,Lake,E,simplex_rho,selected,argmax
stl,train,Lake Malawi,1,0.6205787532859207,False,False
stl,train,Lake Malawi,2,0.6847611098450491,False,False
stl,train,Lake Malawi,3,0.6904152604568182,False,False
stl,train,Lake Malawi,4,0.6930863473346007,False,False
stl,train,Lake Malawi,5,0.6846779190582755,False,False
stl,train,Lake Malawi,6,0.6841654231499114,False,False
stl,train,Lake Malawi,7,0.7340762144312871,True,False
stl,train,Lake Malawi,8,0.7339105728429703,False,False
stl,train,Lake Malawi,9,0.7344799732824279,False,True
stl,train,Lake Malawi,10,0.730234162112252,False,False
stl,train,Lake Tanganyika,1,0.7583701778365187,False,False
stl,train,Lake Tanganyika,2,0.7668351500581773,False,False
stl,train,Lake Tanganyika,3,0.770621490063025,False,False
stl,train,Lake Tanganyika,4,0.7611131063018176,False,False
stl,train,Lake Tanganyika,5,0.7833550786282713,False,False
stl,train,Lake Tanganyika,6,0.7979170385028823,False,False
stl,train,Lake Tanganyika,7,0.7975595511234164,False,False
stl,train,Lake Tanganyika,8,0.8101840218871046,True,False
stl,train,Lake Tanganyika,9,0.8137610565195698,False,False
stl,train,Lake Tanganyika,10,0.8154795450857741,False,True
stl,train,Lake Turkana,1,0.7423913136244784,False,False
stl,train,Lake Turkana,2,0.8545149255810205,True,True
stl,train,Lake Turkana,3,0.8535626267702433,False,False
stl,train,Lake Turkana,4,0.8504867918329859,False,False
stl,train,Lake Turkana,5,0.8396719761272513,False,False
stl,train,Lake Turkana,6,0.830555139289959,False,False
stl,train,Lake Turkana,7,0.8280765989363149,False,False
stl,train,Lake Turkana,8,0.8305156076595497,False,False
stl,train,Lake Turkana,9,0.833162608497374,False,False
stl,train,Lake Turkana,10,0.8253191764420134,False,False
stl,train,Lake Victoria,1,0.7330168866808152,False,False
stl,train,Lake Victoria,2,0.7899724710608408,True,False
stl,train,Lake Victoria,3,0.7767925514942398,False,False
stl,train,Lake Victoria,4,0.7446910802751613,False,False
stl,train,Lake Victoria,5,0.7592544381808187,False,False
stl,train,Lake Victoria,6,0.7597403667948399,False,False
stl,train,Lake Victoria,7,0.7618671062039449,False,False
stl,train,Lake Victoria,8,0.7643441019052908,False,False
stl,train,Lake Victoria,9,0.7794706252298066,False,False
stl,train,Lake Victoria,10,0.7948887432716571,False,True
diff,full,Lake Albert,1,0.06842214567108475,False,False
diff,full,Lake Albert,2,0.0589770558289451,False,False
diff,full,Lake Albert,3,0.18124151688750292,False,False
diff,full,Lake Albert,4,0.11092433425009497,False,False
diff,full,Lake Albert,5,0.1754210367417429,False,False
diff,full,Lake Albert,6,0.2256644358895051,False,False
diff,full,Lake Albert,7,0.28343445025071334,False,False
diff,full,Lake Albert,8,0.34777915168681317,False,False
diff,full,Lake Albert,9,0.3382661548223612,False,False
diff,full,Lake Albert,10,0.363256239040618,True,True
diff,full,Lake Edward,1,0.08624151028257444,False,False
diff,full,Lake Edward,2,0.19651566143350777,False,False
diff,full,Lake Edward,3,0.29802652615999764,False,False
diff,full,Lake Edward,4,0.16845413911950818,False,False
diff,full,Lake Edward,5,0.2688637599487362,False,False
diff,full,Lake Edward,6,0.3439230059826868,False,False
diff,full,Lake Edward,7,0.40067607624103474,True,True
diff,full,Lake Edward,8,0.38143425891541977,False,False
diff,full,Lake Edward,9,0.3933149230223727,False,False
diff,full,Lake Edward,10,0.35514640080039933,False,False
diff,full,Lake Kivu,1,-0.03280408129769432,False,False
diff,full,Lake Kivu,2,0.045838772720964475,False,False
diff,full,Lake Kivu,3,0.12103384070069004,False,False
diff,full,Lake Kivu,4,0.18216119994263325,False,False
diff,full,Lake Kivu,5,0.13431565039194812,False,False
diff,full,Lake Kivu,6,0.1649800352395787,False,False
diff,full,Lake Kivu,7,0.2388638483466959,False,False
diff,full,Lake Kivu,8,0.24118548011034618,False,False
diff,full,Lake Kivu,9,0.2522356416594079,True,True
diff,full,Lake Kivu,10,0.24830137226175458,False,False
diff,full,Lake Malawi,1,0.465437165114041,False,False
diff,full,Lake Malawi,2,0.6170536323097694,False,False
diff,full,Lake Malawi,3,0.7423162849930773,False,False
diff,full,Lake Malawi,4,0.7755320080423607,False,False
diff,full,Lake Malawi,5,0.814901394986471,False,False
diff,full,Lake Malawi,6,0.8424573936710006,True,False
diff,full,Lake Malawi,7,0.8494713087534507,False,True
diff,full,Lake Malawi,8,0.846804113920099,False,False
diff,full,Lake Malawi,9,0.8469127707856006,False,False
diff,full,Lake Malawi,10,0.8465988265458823,False,False
diff,full,Lake Tanganyika,1,0.4548115436911908,False,False
diff,full,Lake Tanganyika,2,0.5964468146024146,False,False
diff,full,Lake Tanganyika,3,0.6452498164929062,False,False
diff,full,Lake Tanganyika,4,0.7033801164463771,False,False
diff,full,Lake Tanganyika,5,0.783735123587789,False,False
diff,full,Lake Tanganyika,6,0.8140165198659834,False,False
diff,full,Lake Tanganyika,7,0.8231894082078838,False,False
diff,full,Lake Tanganyika,8,0.8255766724098071,False,False
diff,full,Lake Tanganyika,9,0.8255718895999834,False,False
diff,full,Lake Tanganyika,10,0.8403981472038021,True,True
diff,full,Lake Turkana,1,0.4711004518187839,False,False
diff,full,Lake Turkana,2,0.5233639046764572,False,False
diff,full,Lake Turkana,3,0.5793652411545436,False,False
diff,full,Lake Turkana,4,0.6104049833651578,False,False
diff,full,Lake Turkana,5,0.6564285527342123,False,False
diff,full,Lake Turkana,6,0.702947779891302,True,True
diff,full,Lake Turkana,7,0.6676975229313196,False,False
diff,full,Lake Turkana,8,0.6490599702517338,False,False
diff,full,Lake Turkana,9,0.6091306113039219,False,False
diff,full,Lake Turkana,10,0.6280683592740646,False,False
diff,full,Lake Victoria,1,0.15139443400348349,False,False
diff,full,Lake Victoria,2,0.328796637764809,False,False
diff,full,Lake Victoria,3,0.4738972723251158,False,False
diff,full,Lake Victoria,4,0.5060641326094028,False,False
diff,full,Lake Victoria,5,0.5479462511549559,False,False
diff,full,Lake Victoria,6,0.5142794537708993,False,False
diff,full,Lake Victoria,7,0.5477957658632966,False,False
diff,full,Lake Victoria,8,0.5546125878408421,False,False
diff,full,Lake Victoria,9,0.6053403457802402,False,False
diff,full,Lake Victoria,10,0.6230317519173894,True,True
diff,train,Lake Albert,1,0.033622451647782124,False,False
diff,train,Lake Albert,2,0.011267855568327777,False,False
diff,train,Lake Albert,3,0.11566720146020619,False,False
diff,train,Lake Albert,4,0.09192099888138701,False,False
diff,train,Lake Albert,5,0.12843969083076615,False,False
diff,train,Lake Albert,6,0.14109885845633438,False,False
diff,train,Lake Albert,7,0.2065511259566585,False,False
diff,train,Lake Albert,8,0.3216616979196114,True,True
diff,train,Lake Albert,9,0.29633067883168973,False,False
diff,train,Lake Albert,10,0.30786465510042804,False,False
diff,train,Lake Edward,1,0.12258727780064,False,False
diff,train,Lake Edward,2,0.19404086774043788,False,False
diff,train,Lake Edward,3,0.27129965724776806,False,False
diff,train,Lake Edward,4,0.13357652576879958,False,False
diff,train,Lake Edward,5,0.22295218777742057,False,False
diff,train,Lake Edward,6,0.270160647465469,False,False
diff,train,Lake Edward,7,0.3593822664496957,True,True
diff,train,Lake Edward,8,0.3192076042265685,False,False
diff,train,Lake Edward,9,0.3312426234756995,False,False
diff,train,Lake Edward,10,0.32426142961821947,False,False
diff,train,Lake Kivu,1,-0.012255266242670981,False,False
diff,train,Lake Kivu,2,0.049750503378554516,False,False
diff,train,Lake Kivu,3,0.03901576375095304,False,False
diff,train,Lake Kivu,4,0.12677805379520898,False,False
diff,train,Lake Kivu,5,0.10887515968695854,False,False
diff,train,Lake Kivu,6,0.11815037022482534,False,False
diff,train,Lake Kivu,7,0.23950252891777962,False,False
diff,train,Lake Kivu,8,0.2591734361961793,True,True
diff,train,Lake Kivu,9,0.2343018348187055,False,False
diff,train,Lake Kivu,10,0.25030511981709963,False,False
diff,train,Lake Malawi,1,0.5044635712162469,False,False
diff,train,Lake Malawi,2,0.5871519122836906,False,False
diff,train,Lake Malawi,3,0.726923850812684,False,False
diff,train,Lake Malawi,4,0.7636665806316598,False,False
diff,train,Lake Malawi,5,0.8183168609428954,False,False
diff,train,Lake Malawi,6,0.843161342236158,False,False
diff,train,Lake Malawi,7,0.8476835256894895,True,False
diff,train,Lake Malawi,8,0.8497750670360525,False,False
diff,train,Lake Malawi,9,0.856076119493415,False,True
diff,train,Lake Malawi,10,0.8533076720742623,False,False
diff,train,Lake Tanganyika,1,0.48322892883484136,False,False
diff,train,Lake Tanganyika,2,0.6035519529163091,False,False
diff,train,Lake Tanganyika,3,0.6251265851892818,False,False
diff,train,Lake Tanganyika,4,0.6940102444581119,False,False
diff,train,Lake Tanganyika,5,0.7702311339280259,False,False
diff,train,Lake Tanganyika,6,0.7956593242052428,False,False
diff,train,Lake Tanganyika,7,0.8027525922584531,False,False
diff,train,Lake Tanganyika,8,0.8107826066243095,True,False
diff,train,Lake Tanganyika,9,0.8083192501202492,False,False
diff,train,Lake Tanganyika,10,0.8188455434185063,False,True
diff,train,Lake Turkana,1,0.48786372610791406,False,False
diff,train,Lake Turkana,2,0.5490730026269607,False,False
diff,train,Lake Turkana,3,0.6078499499307155,False,False
diff,train,Lake Turkana,4,0.6310989103925829,False,False
diff,train,Lake Turkana,5,0.6706026486624883,False,False
diff,train,Lake Turkana,6,0.7063133438418807,True,True
diff,train,Lake Turkana,7,0.6812115086503343,False,False
diff,train,Lake Turkana,8,0.6741091242252156,False,False
diff,train,Lake Turkana,9,0.6331476097236729,False,False
diff,train,Lake Turkana,10,0.6403241641371537,False,False
diff,train,Lake Victoria,1,0.09828846132846612,False,False
diff,train,Lake Victoria,2,0.2746558193755475,False,False
diff,train,Lake Victoria,3,0.4279313984047317,False,False
diff,train,Lake Victoria,4,0.44827331066257003,False,False
diff,train,Lake Victoria,5,0.46403745493249526,False,False
diff,train,Lake Victoria,6,0.4930391442535705,False,False
diff,train,Lake Victoria,7,0.48313916576666355,False,False
diff,train,Lake Victoria,8,0.5059747042654528,False,False
diff,train,Lake Victoria,9,0.5589079591391242,False,False
diff,train,Lake Victoria,10,0.577104872477312,True,True
