response_(influenced),Lake Albert,Lake Edward,Lake Kivu,Lake Malawi,Lake Tanganyika,Lake Turkana,Lake Victoria
Lake Albert,0.0,0.0,0.0,0.0,0.5413,0.5202,0.4863
Lake Edward,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake Kivu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake Malawi,0.4624,0.0,0.0,0.0,0.0,0.0,0.0
Lake Tanganyika,0.0,0.0,0.0,0.0,0.0,0.0,0.6794
Lake Turkana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake Victoria,0.0,0.0,0.5192,0.7962,0.797,0.6207,0.0
