Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%
Lake Malawi,VARX_zero,12,0.5361,0.475,3.4
Lake Malawi,VARX_dmionly,1,0.103,0.0652,6.5
Lake Malawi,VARX_dmionly,3,0.2177,0.1561,12.0
Lake Malawi,VARX_dmionly,6,0.3401,0.2487,8.6
Lake Malawi,VARX_dmionly,12,0.5799,0.4762,-4.5
Lake Malawi,VARX_oracle,1,0.0811,0.0556,26.4
Lake Malawi,VARX_oracle,3,0.1552,0.1011,37.3
Lake Malawi,VARX_oracle,6,0.2403,0.1703,35.4
Lake Malawi,VARX_oracle,12,0.3906,0.3325,29.6
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,-95.0
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,-111.5
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,-81.3
Lake Tanganyika,RandomWalk,12,0.4753,0.394,-4.5
Lake Tanganyika,SARIMA,1,0.0878,0.0624,0.0
Lake Tanganyika,SARIMA,3,0.2026,0.1551,0.0
Lake Tanganyika,SARIMA,6,0.3418,0.2706,0.0
Lake Tanganyika,SARIMA,12,0.4547,0.3789,0.0
Lake Tanganyika,VAR,1,0.0745,0.0518,15.1
Lake Tanganyika,VAR,3,0.1494,0.1107,26.3
Lake Tanganyika,VAR,6,0.2532,0.1955,25.9
Lake Tanganyika,VAR,12,0.4149,0.3443,8.8
Lake Tanganyika,VARX_orig,1,0.0795,0.0523,9.5
Lake Tanganyika,VARX_orig,3,0.1856,0.144,8.4
Lake Tanganyika,VARX_orig,6,0.3472,0.2705,-1.6
Lake Tanganyika,VARX_orig,12,0.5821,0.469,-28.0
Lake Tanganyika,VARX_zero,1,0.0694,0.044,21.0
Lake Tanganyika,VARX_zero,3,0.1478,0.1104,27.0
Lake Tanganyika,VARX_zero,6,0.2427,0.199,29.0
Lake Tanganyika,VARX_zero,12,0.367,0.3247,19.3
Lake Tanganyika,VARX_dmionly,1,0.0746,0.0521,15.0
Lake Tanganyika,VARX_dmionly,3,0.1462,0.1081,27.8
Lake Tanganyika,VARX_dmionly,6,0.2273,0.1739,33.5
Lake Tanganyika,VARX_dmionly,12,0.3312,0.2671,27.2
Lake Tanganyika,VARX_oracle,1,0.0694,0.044,21.0
Lake Tanganyika,VARX_oracle,3,0.1258,0.0879,37.9
Lake Tanganyika,VARX_oracle,6,0.189,0.1433,44.7
Lake Tanganyika,VARX_oracle,12,0.2555,0.2063,43.8
Lake Turkana,RandomWalk,1,0.1204,0.086,-20.8
Lake Turkana,RandomWalk,3,0.2748,0.2148,-12.0
Lake Turkana,RandomWalk,6,0.449,0.3703,-8.6
Lake Turkana,RandomWalk,12,0.8021,0.6708,-18.0
Lake Turkana,SARIMA,1,0.0997,0.0722,0.0
Lake Turkana,SARIMA,3,0.2454,0.1988,0.0
Lake Turkana,SARIMA,6,0.4134,0.3584,0.0
Lake Turkana,SARIMA,12,0.68,0.615,0.0
Lake Turkana,VAR,1,0.1168,0.0893,-17.2
Lake Turkana,VAR,3,0.3179,0.2599,-29.5
Lake Turkana,VAR,6,0.5102,0.4214,-23.4
Lake Turkana,VAR,12,0.6046,0.4796,11.1
Lake Turkana,VARX_orig,1,0.1323,0.1,-32.7
Lake Turkana,VARX_orig,3,0.4059,0.3203,-65.4
Lake Turkana,VARX_orig,6,0.795,0.6498,-92.3
Lake Turkana,VARX_orig,12,1.4511,1.2747,-113.4
Lake Turkana,VARX_zero,1,0.1141,0.0939,-14.4
Lake Turkana,VARX_zero,3,0.3143,0.2581,-28.1
Lake Turkana,VARX_zero,6,0.5239,0.4223,-26.7
Lake Turkana,VARX_zero,12,0.6648,0.5209,2.2
Lake Turkana,VARX_dmionly,1,0.1175,0.0917,-17.9
