Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Kivu,VARX_oracle,3,0.106,0.0845,14.3,32.5,0.289
Lake Kivu,VARX_oracle,6,0.1598,0.128,6.2,48.9,0.438
Lake Kivu,VARX_oracle,12,0.2233,0.1789,-4.9,68.4,0.612
Lake Malawi,RandomWalk,1,0.2235,0.185,-102.8,34.7,0.639
Lake Malawi,RandomWalk,3,0.5707,0.4954,-130.7,88.6,1.71
Lake Malawi,RandomWalk,6,0.7759,0.6755,-108.5,120.5,2.331
Lake Malawi,RandomWalk,12,0.547,0.5005,1.4,84.9,1.727
Lake Malawi,SARIMA,1,0.1102,0.0692,0.0,17.1,0.239
Lake Malawi,SARIMA,3,0.2474,0.1658,0.0,38.4,0.572
Lake Malawi,SARIMA,6,0.3721,0.2811,0.0,57.8,0.97
Lake Malawi,SARIMA,12,0.5549,0.4783,0.0,86.2,1.651
Lake Malawi,VAR,1,0.1045,0.0648,5.2,16.2,0.224
Lake Malawi,VAR,3,0.2271,0.1509,8.2,35.3,0.521
Lake Malawi,VAR,6,0.3438,0.2519,7.6,53.4,0.869
Lake Malawi,VAR,12,0.5357,0.4723,3.5,83.2,1.63
Lake Malawi,VARX_orig,1,0.1175,0.0723,-6.6,18.2,0.25
Lake Malawi,VARX_orig,3,0.2953,0.195,-19.4,45.9,0.673
Lake Malawi,VARX_orig,6,0.5449,0.4171,-46.4,84.6,1.44
Lake Malawi,VARX_orig,12,0.9984,0.7796,-79.9,155.1,2.691
Lake Malawi,VARX_zero,1,0.0811,0.0556,26.4,12.6,0.192
Lake Malawi,VARX_zero,3,0.2169,0.1368,12.3,33.7,0.472
Lake Malawi,VARX_zero,6,0.3447,0.2454,7.4,53.5,0.847
Lake Malawi,VARX_zero,12,0.5361,0.475,3.4,83.3,1.639
Lake Malawi,VARX_dmionly,1,0.103,0.0652,6.5,16.0,0.225
Lake Malawi,VARX_dmionly,3,0.2177,0.1561,12.0,33.8,0.539
Lake Malawi,VARX_dmionly,6,0.3401,0.2487,8.6,52.8,0.858
Lake Malawi,VARX_dmionly,12,0.5799,0.4762,-4.5,90.1,1.644
