Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Malawi,RandomWalk,3,0.5707,0.4954,58,-130.7,88.6,1.71
Lake Malawi,RandomWalk,6,0.7759,0.6755,55,-108.5,120.5,2.331
Lake Malawi,RandomWalk,12,0.547,0.5005,49,1.4,84.9,1.727
Lake Malawi,SARIMA,1,0.1102,0.0692,60,0.0,17.1,0.239
Lake Malawi,SARIMA,3,0.2474,0.1658,58,0.0,38.4,0.572
Lake Malawi,SARIMA,6,0.3721,0.2811,55,0.0,57.8,0.97
Lake Malawi,SARIMA,12,0.5549,0.4783,49,0.0,86.2,1.651
Lake Malawi,SARIMAX,1,0.0986,0.0628,60,10.5,15.3,0.217
Lake Malawi,SARIMAX,3,0.2462,0.1639,58,0.5,38.2,0.566
Lake Malawi,SARIMAX,6,0.3721,0.285,55,0.0,57.8,0.984
Lake Malawi,SARIMAX,12,0.5549,0.4853,49,0.0,86.2,1.675
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,60,-95.0,36.5,0.497
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,58,-111.5,91.5,1.287
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,55,-81.3,132.2,1.754
Lake Tanganyika,RandomWalk,12,0.4753,0.394,49,-4.5,101.4,1.332
Lake Tanganyika,SARIMA,1,0.0878,0.0624,60,0.0,18.7,0.211
Lake Tanganyika,SARIMA,3,0.2026,0.1551,58,0.0,43.2,0.524
Lake Tanganyika,SARIMA,6,0.3418,0.2706,55,0.0,72.9,0.915
Lake Tanganyika,SARIMA,12,0.4547,0.3789,49,0.0,97.0,1.281
Lake Tanganyika,SARIMAX,1,0.0869,0.0608,60,1.0,18.5,0.205
Lake Tanganyika,SARIMAX,3,0.2044,0.1557,58,-0.9,43.6,0.526
Lake Tanganyika,SARIMAX,6,0.346,0.2732,55,-1.2,73.8,0.923
Lake Tanganyika,SARIMAX,12,0.4595,0.3848,49,-1.1,98.0,1.3
Lake Turkana,RandomWalk,1,0.1204,0.086,60,-20.8,10.7,0.129
Lake Turkana,RandomWalk,3,0.2748,0.2148,58,-12.0,24.4,0.322
Lake Turkana,RandomWalk,6,0.449,0.3703,55,-8.6,39.8,0.555
Lake Turkana,RandomWalk,12,0.8021,0.6708,49,-18.0,71.1,1.005
Lake Turkana,SARIMA,1,0.0997,0.0722,60,0.0,8.8,0.108
Lake Turkana,SARIMA,3,0.2454,0.1988,58,0.0,21.8,0.298
Lake Turkana,SARIMA,6,0.4134,0.3584,55,0.0,36.6,0.537
Lake Turkana,SARIMA,12,0.68,0.615,49,0.0,60.3,0.922
Lake Turkana,SARIMAX,1,0.092,0.0663,60,7.7,8.2,0.099
Lake Turkana,SARIMAX,3,0.2402,0.1934,58,2.1,21.3,0.29
Lake Turkana,SARIMAX,6,0.4063,0.3456,55,1.7,36.0,0.518
Lake Turkana,SARIMAX,12,0.6677,0.6058,49,1.8,59.2,0.908
Lake Victoria,RandomWalk,1,0.1099,0.0894,60,-75.6,19.9,0.282
Lake Victoria,RandomWalk,3,0.2405,0.1921,58,-72.4,43.6,0.607
Lake Victoria,RandomWalk,6,0.3206,0.2448,55,-41.5,58.2,0.773
Lake Victoria,RandomWalk,12,0.3363,0.29,49,1.3,61.0,0.916
Lake Victoria,SARIMA,1,0.0626,0.0503,60,0.0,11.4,0.159
Lake Victoria,SARIMA,3,0.1395,0.1096,58,0.0,25.3,0.346
Lake Victoria,SARIMA,6,0.2266,0.1745,55,0.0,41.1,0.551
Lake Victoria,SARIMA,12,0.3407,0.2929,49,0.0,61.8,0.925
Lake Victoria,SARIMAX,1,0.057,0.0462,60,8.9,10.3,0.146
Lake Victoria,SARIMAX,3,0.1353,0.1028,58,3.0,24.6,0.325
Lake Victoria,SARIMAX,6,0.2224,0.1693,55,1.9,40.4,0.535
Lake Victoria,SARIMAX,12,0.3435,0.2966,49,-0.8,62.3,0.937
