Lake,Model,Horizon_m,RMSE_m,MAE_m,skill_vs_RW_%
Lake Victoria,SeasonalNaive,3,0.3162,0.2675,-31.5
Lake Victoria,SeasonalNaive,6,0.3235,0.2768,-0.9
Lake Victoria,SeasonalNaive,12,0.3363,0.29,0.0
Lake Victoria,ARIMA,1,0.09,0.0719,18.1
Lake Victoria,ARIMA,3,0.2323,0.1892,3.4
Lake Victoria,ARIMA,6,0.3104,0.2426,3.2
Lake Victoria,ARIMA,12,0.3402,0.2913,-1.2
Lake Victoria,SARIMA,1,0.0626,0.0503,43.0
Lake Victoria,SARIMA,3,0.1395,0.1096,42.0
Lake Victoria,SARIMA,6,0.2266,0.1745,29.3
Lake Victoria,SARIMA,12,0.3407,0.2929,-1.3
