Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_RW_%,skill_vs_SARIMA_%
Lake Malawi,ARIMA,1,0.131,0.0952,60,41.4,-18.9
Lake Malawi,ARIMA,3,0.3122,0.2337,58,45.3,-26.2
Lake Malawi,ARIMA,6,0.4114,0.3018,55,47.0,-10.6
Lake Malawi,ARIMA,12,0.5457,0.4958,49,0.2,1.7
Lake Malawi,SARIMA,1,0.1102,0.0692,60,50.7,0.0
Lake Malawi,SARIMA,3,0.2474,0.1658,58,56.6,0.0
Lake Malawi,SARIMA,6,0.3721,0.2811,55,52.0,0.0
Lake Malawi,SARIMA,12,0.5549,0.4783,49,-1.4,0.0
Lake Tanganyika,RandomWalk,1,0.1712,0.1472,60,0.0,-95.0
Lake Tanganyika,RandomWalk,3,0.4286,0.3809,58,0.0,-111.5
Lake Tanganyika,RandomWalk,6,0.6197,0.5191,55,0.0,-81.3
Lake Tanganyika,RandomWalk,12,0.4753,0.394,49,0.0,-4.5
Lake Tanganyika,SeasonalNaive,1,0.491,0.414,60,-186.8,-459.2
Lake Tanganyika,SeasonalNaive,3,0.4708,0.3975,58,-9.8,-132.4
Lake Tanganyika,SeasonalNaive,6,0.4615,0.3862,55,25.5,-35.0
Lake Tanganyika,SeasonalNaive,12,0.4753,0.394,49,0.0,-4.5
Lake Tanganyika,ARIMA,1,0.095,0.066,60,44.5,-8.2
Lake Tanganyika,ARIMA,3,0.1962,0.1454,58,54.2,3.2
Lake Tanganyika,ARIMA,6,0.3109,0.2415,55,49.8,9.0
Lake Tanganyika,ARIMA,12,0.4696,0.3888,49,1.2,-3.3
Lake Tanganyika,SARIMA,1,0.0878,0.0624,60,48.7,0.0
Lake Tanganyika,SARIMA,3,0.2026,0.1551,58,52.7,0.0
Lake Tanganyika,SARIMA,6,0.3418,0.2706,55,44.8,0.0
Lake Tanganyika,SARIMA,12,0.4547,0.3789,49,4.3,0.0
Lake Turkana,RandomWalk,1,0.1204,0.086,60,0.0,-20.8
Lake Turkana,RandomWalk,3,0.2748,0.2148,58,0.0,-12.0
Lake Turkana,RandomWalk,6,0.449,0.3703,55,0.0,-8.6
Lake Turkana,RandomWalk,12,0.8021,0.6708,49,0.0,-18.0
Lake Turkana,SeasonalNaive,1,0.9157,0.7675,60,-660.5,-818.5
Lake Turkana,SeasonalNaive,3,0.8634,0.7292,58,-214.2,-251.8
Lake Turkana,SeasonalNaive,6,0.8058,0.683,55,-79.5,-94.9
Lake Turkana,SeasonalNaive,12,0.8021,0.6708,49,0.0,-18.0
Lake Turkana,ARIMA,1,0.1073,0.0785,60,10.9,-7.6
Lake Turkana,ARIMA,3,0.2793,0.2261,58,-1.6,-13.8
Lake Turkana,ARIMA,6,0.4604,0.3842,55,-2.5,-11.4
Lake Turkana,ARIMA,12,0.7758,0.6526,49,3.3,-14.1
Lake Turkana,SARIMA,1,0.0997,0.0722,60,17.2,0.0
Lake Turkana,SARIMA,3,0.2454,0.1988,58,10.7,0.0
Lake Turkana,SARIMA,6,0.4134,0.3584,55,7.9,0.0
Lake Turkana,SARIMA,12,0.68,0.615,49,15.2,0.0
Lake Victoria,RandomWalk,1,0.1099,0.0894,60,0.0,-75.6
Lake Victoria,RandomWalk,3,0.2405,0.1921,58,0.0,-72.4
Lake Victoria,RandomWalk,6,0.3206,0.2448,55,0.0,-41.5
Lake Victoria,RandomWalk,12,0.3363,0.29,49,0.0,1.3
Lake Victoria,SeasonalNaive,1,0.3233,0.2746,60,-194.2,-416.5
Lake Victoria,SeasonalNaive,3,0.3162,0.2675,58,-31.5,-126.7
Lake Victoria,SeasonalNaive,6,0.3235,0.2768,55,-0.9,-42.8
Lake Victoria,SeasonalNaive,12,0.3363,0.29,49,0.0,1.3
Lake Victoria,ARIMA,1,0.09,0.0719,60,18.1,-43.8
Lake Victoria,ARIMA,3,0.2323,0.1892,58,3.4,-66.5
Lake Victoria,ARIMA,6,0.3104,0.2426,55,3.2,-37.0
Lake Victoria,ARIMA,12,0.3402,0.2913,49,-1.2,0.1
Lake Victoria,SARIMA,1,0.0626,0.0503,60,43.0,0.0
Lake Victoria,SARIMA,3,0.1395,0.1096,58,42.0,0.0
Lake Victoria,SARIMA,6,0.2266,0.1745,55,29.3,0.0
Lake Victoria,SARIMA,12,0.3407,0.2929,49,-1.3,0.0
