Lake,Model,Horizon_m,RMSE_m,MAE_m,n_scored,skill_vs_RW_%,skill_vs_SARIMA_%,nRMSE_pct,MASE
Lake Tanganyika,SeasonalNaive,3,0.4708,0.3975,58,-9.8,-132.4,100.5,1.343
Lake Tanganyika,SeasonalNaive,6,0.4615,0.3862,55,25.5,-35.0,98.5,1.305
Lake Tanganyika,SeasonalNaive,12,0.4753,0.394,49,0.0,-4.5,101.4,1.332
Lake Tanganyika,ARIMA,1,0.095,0.066,60,44.5,-8.2,20.3,0.223
Lake Tanganyika,ARIMA,3,0.1962,0.1454,58,54.2,3.2,41.9,0.491
Lake Tanganyika,ARIMA,6,0.3109,0.2415,55,49.8,9.0,66.3,0.816
Lake Tanganyika,ARIMA,12,0.4696,0.3888,49,1.2,-3.3,100.2,1.314
Lake Tanganyika,SARIMA,1,0.0878,0.0624,60,48.7,0.0,18.7,0.211
Lake Tanganyika,SARIMA,3,0.2026,0.1551,58,52.7,0.0,43.2,0.524
Lake Tanganyika,SARIMA,6,0.3418,0.2706,55,44.8,0.0,72.9,0.915
Lake Tanganyika,SARIMA,12,0.4547,0.3789,49,4.3,0.0,97.0,1.281
Lake Turkana,RandomWalk,1,0.1204,0.086,60,0.0,-20.8,10.7,0.129
Lake Turkana,RandomWalk,3,0.2748,0.2148,58,0.0,-12.0,24.4,0.322
Lake Turkana,RandomWalk,6,0.449,0.3703,55,0.0,-8.6,39.8,0.555
Lake Turkana,RandomWalk,12,0.8021,0.6708,49,0.0,-18.0,71.1,1.005
Lake Turkana,SeasonalNaive,1,0.9157,0.7675,60,-660.5,-818.5,81.2,1.15
Lake Turkana,SeasonalNaive,3,0.8634,0.7292,58,-214.2,-251.8,76.5,1.093
Lake Turkana,SeasonalNaive,6,0.8058,0.683,55,-79.5,-94.9,71.4,1.023
Lake Turkana,SeasonalNaive,12,0.8021,0.6708,49,0.0,-18.0,71.1,1.005
Lake Turkana,ARIMA,1,0.1073,0.0785,60,10.9,-7.6,9.5,0.118
Lake Turkana,ARIMA,3,0.2793,0.2261,58,-1.6,-13.8,24.8,0.339
Lake Turkana,ARIMA,6,0.4604,0.3842,55,-2.5,-11.4,40.8,0.576
Lake Turkana,ARIMA,12,0.7758,0.6526,49,3.3,-14.1,68.8,0.978
Lake Turkana,SARIMA,1,0.0997,0.0722,60,17.2,0.0,8.8,0.108
Lake Turkana,SARIMA,3,0.2454,0.1988,58,10.7,0.0,21.8,0.298
Lake Turkana,SARIMA,6,0.4134,0.3584,55,7.9,0.0,36.6,0.537
Lake Turkana,SARIMA,12,0.68,0.615,49,15.2,0.0,60.3,0.922
Lake Victoria,RandomWalk,1,0.1099,0.0894,60,0.0,-75.6,19.9,0.282
Lake Victoria,RandomWalk,3,0.2405,0.1921,58,0.0,-72.4,43.6,0.607
Lake Victoria,RandomWalk,6,0.3206,0.2448,55,0.0,-41.5,58.2,0.773
Lake Victoria,RandomWalk,12,0.3363,0.29,49,0.0,1.3,61.0,0.916
Lake Victoria,SeasonalNaive,1,0.3233,0.2746,60,-194.2,-416.5,58.7,0.867
Lake Victoria,SeasonalNaive,3,0.3162,0.2675,58,-31.5,-126.7,57.4,0.845
Lake Victoria,SeasonalNaive,6,0.3235,0.2768,55,-0.9,-42.8,58.7,0.874
Lake Victoria,SeasonalNaive,12,0.3363,0.29,49,0.0,1.3,61.0,0.916
Lake Victoria,ARIMA,1,0.09,0.0719,60,18.1,-43.8,16.3,0.227
Lake Victoria,ARIMA,3,0.2323,0.1892,58,3.4,-66.5,42.2,0.598
Lake Victoria,ARIMA,6,0.3104,0.2426,55,3.2,-37.0,56.3,0.766
Lake Victoria,ARIMA,12,0.3402,0.2913,49,-1.2,0.1,61.7,0.92
Lake Victoria,SARIMA,1,0.0626,0.0503,60,43.0,0.0,11.4,0.159
Lake Victoria,SARIMA,3,0.1395,0.1096,58,42.0,0.0,25.3,0.346
Lake Victoria,SARIMA,6,0.2266,0.1745,55,29.3,0.0,41.1,0.551
Lake Victoria,SARIMA,12,0.3407,0.2929,49,-1.3,0.0,61.8,0.925
